"pod-delete:service=cart","pod-delete:service=catalogue","pod-delete:service=dispatch","pod-delete:service=mongodb","pod-delete:service=mysql","pod-delete:service=rabbitmq","pod-delete:service=ratings","pod-delete:service=shipping","pod-delete:service=user","pod-delete:service=web","disk-fill:service=cart","disk-fill:service=catalogue","disk-fill:service=dispatch","disk-fill:service=mongodb","disk-fill:service=mysql","disk-fill:service=rabbitmq","disk-fill:service=ratings","disk-fill:service=shipping","disk-fill:service=user","disk-fill:service=web","cpu-hog:service=cart","cpu-hog:service=catalogue","cpu-hog:service=dispatch","cpu-hog:service=mongodb","cpu-hog:service=mysql","cpu-hog:service=rabbitmq","cpu-hog:service=ratings","cpu-hog:service=shipping","cpu-hog:service=user","cpu-hog:service=web","cpu-hog:service=payment","disk-fill:service=payment","pod-delete:service=payment"
"false","true","false","true","false","false","true","false","false","false","true","false","false","true","false","false","false","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false"
"false","false","true","false","true","false","false","true","true","true","false","true","true","false","true","true","false","false","true","false","true","true","true","true","false","false","false","true","true","true","true","false","false"
"true","true","true","false","false","true","true","true","false","true","true","true","true","false","false","true","false","true","false","false","false","false","true","true","true","false","true","false","true","true","true","false","false"
"true","false","false","false","true","true","false","true","false","true","true","true","false","false","false","false","false","true","true","true","false","false","false","true","true","true","false","false","true","false","true","true","true"
"true","true","false","false","true","true","false","false","false","true","true","true","false","true","false","false","true","false","true","true","false","true","true","false","true","true","true","true","true","true","true","false","false"
"true","true","true","true","false","false","false","true","false","true","false","false","false","false","false","false","false","false","true","true","false","false","true","false","true","false","false","false","false","true","true","true","true"
"true","false","false","false","true","true","false","false","false","true","false","true","true","true","true","false","false","true","false","false","true","false","true","true","false","false","true","true","false","false","false","true","false"
"true","false","true","false","true","false","true","true","true","false","true","false","true","true","true","true","true","true","true","true","false","true","false","true","true","true","false","false","true","true","true","false","true"
"false","false","false","true","false","true","true","false","true","false","true","true","false","false","false","true","true","false","false","false","false","false","false","true","false","true","false","false","true","false","false","false","false"
"false","true","true","true","false","false","true","true","true","false","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","false","true","false","false","false","false","true","true"
"true","true","true","true","false","false","true","false","true","false","false","false","false","false","true","false","true","true","true","true","true","false","true","false","false","false","false","true","false","true","false","false","false"
"true","false","false","true","true","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","true","false","false","false","false","true","false","true","true","true","false","true","true"
