"pod-delete-cart","pod-delete-catalogue","pod-delete-dispatch","pod-delete-mongodb","pod-delete-mysql","pod-delete-rabbitmq","pod-delete-ratings","pod-delete-shipping","pod-delete-user","pod-delete-web","disk-fill-cart","disk-fill-catalogue","disk-fill-dispatch","disk-fill-mongodb","disk-fill-mysql","disk-fill-rabbitmq","disk-fill-ratings","disk-fill-shipping","disk-fill-user","disk-fill-web","cpu-hog-cart","cpu-hog-catalogue","cpu-hog-dispatch","cpu-hog-mongodb","cpu-hog-mysql","cpu-hog-rabbitmq","cpu-hog-ratings","cpu-hog-shipping","cpu-hog-user","cpu-hog-web","cpu-hog-payment","disk-fill-payment","pod-delete-payment"
"false","true","false","true","false","true","true","false","false","false","true","false","false","true","false","false","true","true","false","true","false","false","false","false","true","true","true","false","false","false","false","true","true"
"false","false","true","false","true","false","false","true","true","true","false","true","true","false","true","true","false","false","true","false","true","true","true","true","false","false","false","true","true","true","true","false","false"
"true","true","true","false","false","true","true","true","false","true","true","true","true","false","false","true","false","true","false","false","false","false","true","true","true","false","true","false","true","true","true","false","false"
"true","false","false","false","true","true","false","true","false","true","true","true","false","false","false","false","false","true","true","true","false","false","false","true","true","true","false","false","true","false","true","true","true"
"true","true","false","false","true","true","false","false","false","true","true","true","false","true","false","false","true","false","true","true","false","true","true","false","true","true","true","true","true","true","true","false","false"
"true","true","true","true","false","false","false","true","false","true","false","false","false","false","false","false","false","false","true","true","false","false","true","false","true","false","false","false","false","true","true","true","true"
"true","false","false","false","true","true","false","false","false","true","false","true","true","true","true","false","false","true","false","false","true","false","true","true","false","false","true","true","false","false","false","true","false"
"true","false","true","false","true","false","true","true","true","false","true","false","true","true","true","true","true","true","true","true","false","true","false","true","true","true","false","false","true","true","true","false","true"
"false","false","false","true","false","true","true","false","true","false","true","true","false","false","false","true","true","false","false","false","false","false","false","true","false","true","false","false","true","false","false","false","false"
"false","true","true","true","false","false","true","true","true","false","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","false","true","false","false","false","false","true","true"
"true","true","true","true","false","false","true","false","true","false","false","false","false","false","true","false","true","true","true","true","true","false","true","false","false","false","false","true","false","true","false","false","false"
"true","false","false","true","true","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","true","false","false","false","false","true","false","true","true","true","false","true","true"
